type,name,TPR,TPR_std,AUC,AUC_std,Time
Ensembles,SelfPaced,0.9047,0.0552,0.9576,0.0317,-2.3529
Ensembles,StackedEnsemble,0.9136,0.0525,0.9768,0.0179,-26.68
